10000 10000
4252 5846 62028
1974 5529 18477
3124 6502 87369
2788 5376 11280
6551 8021 25494
6165 3459 82786
3896 6708 21862
8548 5754 9754
3682 9044 65546
5689 5742 30033
8126 3727 48944
912 2354 22187
9838 8246 17298
3723 2405 78758
742 9231 38169
8837 2662 93502
9806 337 28681
9205 8080 36294
5535 3344 55654
4603 5223 92905
872 6831 87536
2186 9508 82224
5564 8480 55210
4365 6689 35913
3436 8215 35020
7017 8633 88598
7389 8528 26490
1763 630 7520
2255 9076 69731
6703 7637 14554
7577 5633 55218
2094 4325 69715
7669 9634 78759
21 3774 90869
2222 6620 5751
8913 1023 50346
5675 7997 35435
5945 5454 84627
9608 5619 13282
8926 3679 70962
7568 8107 79076
7519 6896 5802
2772 8627 71908
4803 1821 78811
3735 8575 39353
9675 6665 85999
2520 9646 25587
8916 6073 2522
2410 7613 87174
2451 5625 24938
2427 6561 11693
4105 4919 52315
2462 8901 85071
2794 2226 62454
5544 8211 71429
387 5509 33686
9854 2602 73081
4480 7616 92886
7870 2028 27760
8951 4743 38570
88 4737 60962
6760 9864 94685
6226 4237 39867
6972 8486 19856
3853 6877 4329
8097 5498 890
7882 1954 73274
8611 5557 43894
180 6524 20914
1787 7730 85832
6208 8486 76848
9106 9112 51314
653 6609 53623
5389 4069 90020
771 9853 31811
65 1247 38942
9714 364 9462
5715 1524 48610
1537 1909 33702
5004 6973 5044
9707 5278 97595
5607 5320 29180
5381 3530 85892
4751 1278 76366
5168 6982 55954
7948 6940 21771
8739 2056 22823
2624 7737 58595
8853 803 93776
6202 9375 58196
3139 2632 42543
9264 9042 21885
2236 5210 87339
9368 1749 68620
341 3228 11439
6664 8931 49980
5575 7632 47866
2464 1930 11201
1118 1916 9224
275 1315 45247
7231 9012 34215
1612 4370 35333
6073 2483 9292
7102 5867 92570
8700 9074 8443
5413 1286 60568
8549 8670 38487
6444 18 42565
772 9559 29710
1618 8255 71804
8446 6177 31115
8300 5173 78999
7351 7639 51192
101 553 46602
1775 5155 84729
2605 2 86526
6847 6405 25843
9837 3931 42754
3935 4164 39747
207 5892 33041
6508 3661 39780
8954 3110 83254
5080 9481 41393
3989 9080 25935
2827 4257 76948
3005 3035 81844
3455 1322 762
5679 605 93452
997 4985 75487
7331 1916 55064
7371 809 51978
766 8985 81103
8515 4385 64777
4882 1168 66517
8357 8537 4454
432 1548 38759
2256 2979 72690
913 5755 45586
7171 7288 13222
5674 8499 6534
4836 2185 64897
850 8918 16315
654 7807 36051
4665 9169 86988
4704 2653 22323
7103 7989 62524
871 7613 13809
13 2443 17433
5225 4924 78989
4765 2879 42386
8681 8606 9
7867 3107 29299
1059 7154 30410
5067 5924 49811
1729 9606 76968
5770 2752 1478
5324 6179 82649
8972 1004 941
1905 5162 29254
835 8033 81535
8432 9418 43794
1570 1362 1862
9546 1722 317
4159 324 62375
9064 6015 63314
876 9126 28378
1092 6790 35217
1422 9329 62647
9534 6238 159
2248 5428 20253
3502 5879 11311
3339 8889 66659
1708 8396 47911
1963 7988 60803
2549 5938 79542
3046 6054 33991
5840 2543 64461
486 3259 78030
3100 2505 81666
590 4574 90237
2964 9884 44849
7676 2615 65706
7642 1086 73301
7480 1170 58487
2038 6133 38876
8515 6640 81919
4696 1201 69093
6723 7396 86148
5727 6122 49948
9044 8359 38498
1312 4155 34605
5941 1482 63608
3595 5672 58375
7918 5176 47637
3547 2928 79732
2983 3388 20033
8566 5145 90935
9456 468 41664
5789 4560 60440
5011 2248 17196
1795 7197 9032
9155 9078 28564
3870 2100 69622
3237 8569 44796
2508 9030 10098
2488 6490 89256
8225 4576 93608
6406 3934 50088
3058 6913 31180
2281 9159 62995
1849 9498 28575
6712 8464 10936
5234 7908 9715
9171 3377 4465
3447 3149 90632
2121 1064 84531
1903 560 94520
3501 2121 30210
9068 9393 14813
9047 9397 34044
8261 2878 9872
5611 3603 3004
5549 7802 21465
8971 5622 52377
9365 2118 57293
4692 1712 30606
6314 6779 33734
1957 256 65939
5189 6821 93269
4343 7139 80037
4534 6796 56890
9052 9987 12033
1227 7121 46625
5574 8860 30109
227 3115 79147
4250 5950 40935
1614 4658 36630
5336 8626 3389
6706 6180 24448
5152 6836 98166
2880 8362 22158
642 6339 34113
7748 1477 80359
9504 6254 93718
9781 7069 53330
5033 1573 40771
40 8890 38762
2622 5995 63126
169 4252 10069
5539 6083 81174
5828 4513 23460
8146 6280 70323
3571 4188 96835
4328 3922 73752
8222 5538 37123
1745 690 94092
8037 2614 19588
9994 9715 71696
6364 1102 40163
4236 7252 78693
1897 8313 99580
8886 1818 76220
9590 9040 76181
7115 8166 14915
1328 5187 79136
6989 5385 71847
8813 117 82567
9705 8823 50295
1110 7144 46883
7694 910 60052
9671 7739 70615
3060 2121 6642
4561 602 54171
297 6498 57926
5456 2188 27202
1332 6634 9301
9492 1571 10513
8245 7026 15750
8528 4161 79639
6617 6938 5703
36 6117 33876
5041 422 91434
6761 2871 76704
8236 1316 70787
9414 4547 91514
9261 563 747
6638 9057 72194
2104 6151 63762
6077 877 98771
8421 7762 40069
6822 3098 52493
147 7669 14465
5267 52 46894
4335 1418 53150
5497 2885 26699
3790 123 78191
9784 5972 6386
260 5285 84885
1316 5347 96807
9240 5212 5409
7728 3689 99800
2418 3794 33627
1676 9366 46204
5706 398 27171
1095 9070 57089
5513 8076 78848
2952 6386 27449
796 3811 58272
7465 8925 57776
3517 2739 23190
5533 8285 94825
102 672 68397
7522 3900 27170
3397 9023 47027
1874 21 13613
468 616 66473
3856 5504 88714
532 6719 29601
8285 7157 86301
8590 6859 85370
1381 7345 81319
275 6206 43649
965 5737 66146
8430 7000 42844
6811 9048 29116
612 3092 80133
3669 3932 80544
2490 1208 90268
3853 9444 1573
5955 1282 6256
8533 1620 60595
3170 6717 43217
2288 3389 24269
1933 5805 3433
2884 5374 69037
1392 7934 17366
2717 4046 94870
5555 4451 72193
3318 2477 36422
213 8989 69428
4579 9626 24948
4300 7147 28201
4039 8260 54938
1481 313 66005
3095 415 66299
1564 4087 47676
9298 6540 40717
3539 2735 73244
961 8465 90246
4468 7904 51439
9805 3065 58759
7623 1722 77087
3029 8543 70172
3270 1619 44649
254 6652 9797
9981 656 7672
6792 4827 71153
9581 2744 53994
9497 2255 5460
5751 5567 52078
8243 3453 76008
3188 4756 25695
6538 4340 7024
9353 4372 97152
1647 6287 74490
4628 168 66129
4284 7862 73843
4574 1566 48510
2914 6266 11560
2640 4628 22207
9027 7673 60226
5613 4343 23115
9561 9334 31795
2314 8872 10862
6743 5469 14081
8126 8355 10958
5799 2294 69979
1144 4943 16072
7710 6295 67059
6808 770 46378
8986 9997 22792
6244 4841 77804
8467 4273 64256
3176 4861 21486
3540 8947 93231
6744 3739 100
4871 9540 61682
4086 4191 12882
544 7851 28037
821 6030 5230
1948 5351 21766
8039 5426 78540
5496 8721 68870
6947 816 57419
5336 6028 61105
2552 6985 14235
3139 4925 10346
3753 3945 73114
5420 2801 50444
1791 6116 38272
6930 5040 2287
2401 6433 25087
8733 5630 34559
9229 9491 99568
1553 3546 49641
9566 3980 34875
1903 4893 29275
5423 2207 77280
9892 1221 51537
7972 9369 32151
1239 7213 64258
5911 6958 60160
1078 9631 80782
5033 8837 40554
6145 4877 73544
8958 9275 60760
3631 5352 36850
8365 4908 27376
6762 8057 90911
7171 6032 33344
7285 449 9040
9899 1866 29161
5661 3607 84294
1051 2883 25027
8865 6330 61947
7936 5864 36899
33 3340 62329
6306 1998 97161
1517 8397 2779
8814 9659 92931
4611 8618 6937
88 4300 8420
2766 8862 9258
6845 2212 17016
6555 6601 28516
4485 471 52251
5185 4782 87990
2873 5737 41219
1692 6813 4894
8327 2228 89558
3971 7676 96159
8201 7410 92367
6879 4559 51569
876 9777 12468
8460 162 94259
1651 9666 16767
5786 404 79113
3088 3001 16933
9468 3735 4336
3341 2017 94725
5165 2211 23770
4030 2698 50702
1444 247 26801
9137 8433 42086
5551 8254 89320
1516 4195 38827
7699 7717 19385
4900 7668 42644
4491 6589 12227
7288 8827 71389
8399 8902 64154
9473 9431 98670
1681 7276 57879
7951 9140 67539
4694 8533 42752
9808 7015 27186
3863 77 73405
3486 1216 6195
8136 2254 6146
884 6867 66798
3042 1026 62101
5419 2267 36902
2603 7172 63135
6881 7697 93974
4403 6700 5935
6741 3547 54365
6131 455 21754
8702 5950 78644
395 5151 45881
5273 7776 37078
2428 8622 99443
6130 952 36790
4657 7265 35037
1578 6527 14213
6473 6092 71446
887 1683 62431
3906 1830 6500
1500 6561 35614
5320 7157 52431
9467 7927 42973
7496 1765 46923
2175 4719 77234
4213 796 3634
1940 1606 80367
3179 7862 37470
8729 8879 18743
9259 2770 27122
4922 9297 55829
3570 9937 16548
7010 7525 81342
1210 4051 49836
3597 4303 88099
997 3549 33278
5452 2696 11912
462 8999 13108
9047 6265 44303
8775 3381 97055
6665 528 44690
1055 747 68157
3227 8040 68410
4498 2016 86877
6487 200 63529
1349 4949 34867
4648 3535 95145
5682 5127 64284
5080 5900 26585
1167 6481 9707
3304 6346 16904
9988 1135 35799
1209 7413 909
9406 6762 9183
3477 7339 67796
1415 5061 34700
7015 3096 86955
2635 2145 7553
7872 9885 82412
107 2671 37736
6566 4392 92392
3782 6322 71784
6064 4108 77238
6915 2095 95
6999 3542 40880
898 1810 12827
4387 6445 89840
4562 5830 81458
6407 5953 74644
8953 7459 60315
3304 7870 95036
5058 6496 47433
7547 5519 29646
2857 446 27586
1849 3396 98216
8127 4835 63921
1147 5399 29100
7290 2433 65746
6976 6968 83815
7594 8250 57190
6900 7966 54822
8483 489 9043
8613 9433 71648
2131 2692 89431
4287 6199 16542
4874 3964 89331
8817 3174 5389
3364 9889 98553
9085 4410 46847
7535 8779 44783
5770 4957 65945
8141 5786 71715
4822 9095 3804
7372 588 67219
323 8787 67802
2751 4643 64830
1547 729 64588
4453 7900 23553
4523 2920 58625
5051 6457 44765
7046 4572 41574
5344 5613 49838
7907 9808 1487
5832 3357 17443
8137 2959 47389
7015 8441 51259
8421 4471 75043
3287 3212 13312
1793 3185 77294
785 2435 48153
575 5775 79805
4194 6029 31847
7735 3867 66062
6857 1197 86765
3881 6246 88389
2344 707 98787
5628 8677 12125
9254 1509 83909
9757 9336 24171
8864 6405 63749
1264 9488 44327
2424 843 97106
4875 8631 96263
361 4167 61638
7011 1361 35974
4427 6732 5966
3456 1155 59027
9332 501 78982
2389 9338 47171
7451 5097 56729
192 6829 1593
6939 5368 5844
965 1725 99562
4403 1515 59848
9347 8236 6877
1102 2469 15387
9656 6526 57622
556 5897 40367
4170 9084 50605
2934 9855 96508
6265 6720 7524
1598 7322 22593
3988 6248 38632
1762 3694 70069
358 6463 88413
4025 1619 84152
4294 8881 5594
3407 7525 46371
1667 3694 41509
578 9946 40036
7782 8937 19485
8008 3530 30387
8894 5383 28
2390 1851 14587
1563 463 55219
2469 1230 52111
217 9433 47284
643 1293 28620
7847 210 15569
8602 2561 92030
4897 2389 21601
3864 8760 69980
2019 9514 90075
1212 557 86291
3145 4260 44818
2518 6955 28850
3436 6987 51613
713 1799 32551
8909 1236 96179
243 1564 63942
346 3312 96248
2450 413 75813
7379 3678 45323
981 2338 22497
1053 3388 34845
9600 3712 33705
5859 552 96798
3339 3129 65576
8922 7232 44619
8470 6592 22734
3194 2480 84252
7755 2617 50665
8925 9360 85370
4118 3471 70955
9144 3724 84886
8548 236 95945
8242 6891 78629
518 2937 48304
1033 8829 4222
1516 4308 94825
2965 9318 38255
2981 1335 13513
565 2146 7462
8629 1512 65456
7087 7802 28242
1213 7284 66093
9007 8234 46864
4340 8702 7931
8888 8889 7562
9258 9549 3265
3899 8045 54622
3276 9574 1732
3365 6862 2853
3616 5805 15057
5106 9903 37560
6429 9964 7723
7611 350 27559
3067 9677 5938
2383 5603 23792
2584 6393 42620
8994 2504 40866
3158 7912 8405
648 429 72084
3455 3149 69329
3603 9834 11344
4914 8742 52889
2880 1568 62231
4980 3408 93922
4751 2861 18669
1137 6374 79130
3980 2263 39096
3354 9921 79274
8326 1908 92117
4648 5101 16842
1998 9085 84280
2712 416 76454
3464 3771 46760
994 9789 28059
5961 6952 37504
1904 2237 38005
3408 9585 37334
3494 7426 89960
1943 946 84822
481 9750 12065
2461 953 5743
1087 7055 5283
1251 5579 72659
8936 6787 23047
716 384 50977
9114 2711 57605
6373 973 95461
5302 4791 23204
8668 3210 99928
164 6007 80830
1926 1391 40373
9489 5442 49885
8953 1496 4176
6168 1686 86134
9028 4744 54878
8179 4302 45655
2253 5965 31279
4251 838 85432
2439 2052 32745
6775 9501 92701
8946 9663 59414
7337 2549 68102
410 3376 89872
681 6651 79042
7217 7000 21443
6166 5491 27251
7463 1505 24785
6265 8001 52060
2270 3850 78555
2255 6415 93231
291 6569 28558
2004 404 24729
9827 8704 34580
1368 2630 15427
6630 3885 25807
2749 2863 81662
341 1282 29922
4324 360 38496
6307 3636 92207
4604 347 85699
8304 3683 78749
6354 376 46299
2681 4457 4586
4688 6160 11262
3660 9961 34667
7874 6496 95696
1435 3709 37214
8993 432 28047
9635 3063 88569
8313 1422 33162
2078 5028 22259
2720 7259 27882
3310 3219 17662
616 7930 79867
5606 8852 43682
772 7694 28679
1939 9326 16901
7249 1706 85422
9567 3805 31963
1628 129 2404
9404 4408 53144
8857 5047 86891
9233 6281 72099
5504 3640 58838
3266 8004 88268
4287 8269 68006
744 2161 29175
7626 3583 73673
3592 2319 20360
5449 7990 93668
8940 8404 34600
9492 2158 78054
233 5079 91771
2363 8453 96884
9128 3247 61758
5287 9722 27208
5295 395 9426
2906 3738 19210
8243 1891 52290
7065 5445 38140
2400 9423 16217
8020 5095 51570
6780 9952 33692
954 8358 30626
3820 5350 42660
6676 8697 90006
8475 9488 95120
7458 1994 21834
769 2102 55197
5520 4853 10447
9974 2127 61467
1978 7696 12908
983 3255 1594
6020 178 78031
7724 788 25800
6849 3160 65703
1332 6902 34859
6971 9319 39797
3963 5566 67126
3594 4039 99595
1410 3695 74930
2444 2680 4753
8045 657 94226
3676 7322 41914
7032 8886 42091
4696 1068 92372
3346 7696 16954
7804 5791 41032
151 5076 67648
8177 7372 29489
3745 6544 53910
7784 3172 98483
4067 344 55871
4545 9292 96383
7070 7427 39776
1076 9532 95774
9762 6669 36519
9623 5658 65489
5984 8372 96904
6515 6153 82607
914 5950 9498
1362 2161 40757
9589 9137 83864
210 8452 56258
1501 5471 42246
3271 251 92080
1490 7229 28688
3304 4564 96704
983 1483 36451
317 5569 87524
2200 3247 96439
8197 5888 28844
7788 8482 33472
4008 9626 56264
5652 1561 29519
6893 4362 61743
2291 2925 77608
329 402 67196
1078 8340 34737
4421 9265 5355
5571 3469 2890
8309 4270 82091
2757 2096 73722
1720 4182 87505
67 5291 52556
8258 2991 37992
1043 2306 42635
6020 2203 88196
2759 3818 80690
7259 5617 31200
8661 9183 3398
2595 4599 74356
668 3018 22725
5115 5881 14772
6573 2440 51826
9764 5066 56195
2360 5545 55569
6863 1075 82862
3652 8781 78052
9232 8152 96162
7722 6251 99094
7974 8586 98540
4089 6994 91516
6263 6716 83240
1473 7064 38552
5618 1030 26907
5788 5800 46608
8726 9157 38944
3890 9860 72181
3805 452 62372
2038 3108 15627
867 2767 46852
4787 4788 9850
1788 6244 87871
7480 5998 13305
6572 4835 94887
4139 4527 67071
3950 302 74633
7791 8607 81503
8066 8092 88785
4737 159 13986
5370 6526 23743
592 161 93952
9292 1770 36310
8935 1736 51210
428 9993 65336
2892 7608 39093
8750 3863 14767
2956 6188 93433
2184 4093 67654
7833 6756 84035
4279 4231 19209
8247 7008 47689
7807 1545 66510
664 2407 14600
2149 1908 45499
179 4083 75991
69 7501 5887
719 1791 85152
4921 3370 90979
9765 8201 31774
6838 9984 82431
2711 6603 97573
6793 1637 56003
4252 3071 56143
9631 4561 10544
6866 7073 61263
1609 8832 1930
7227 8239 13396
8560 6550 70573
3334 6928 65436
7341 7334 65451
8376 8974 35617
4517 5125 70252
1907 587 21245
1708 6785 45195
7254 4073 33343
103 9414 39151
3375 3724 4437
6585 6067 64569
4257 9654 13392
8668 7154 87248
3779 5203 49224
4074 912 74659
5597 6236 25893
5884 1565 92098
7534 2555 10990
4503 9007 92727
7297 7881 40392
508 1950 34218
9687 4420 29181
6204 5375 75493
6183 5813 25619
407 7997 77351
1657 1893 82413
8661 1418 1832
3475 4743 79079
6543 6969 89241
8484 6367 35312
4617 1272 86928
8873 8175 21090
1397 6858 19290
9042 4350 31030
2828 9099 69124
75 9151 33210
9320 7094 92198
3773 9754 84620
1526 627 1854
4313 5290 83228
4450 1713 41206
7264 1412 80627
3119 1540 45994
4894 1557 37957
7209 7784 91004
5474 8002 73236
3418 4418 92879
6795 978 21020
2939 4544 8646
9565 4140 29254
3521 4585 54923
1097 2443 25665
5974 5987 71030
154 258 42938
9605 3682 39433
8513 5919 42356
9364 1676 49496
7314 4798 87341
5119 7851 71660
7354 8688 7441
4586 7217 86069
2883 499 49370
1337 5201 55539
1121 1768 22698
6868 7232 31662
2569 6861 25131
5872 4701 54744
5409 3382 35842
245 9697 34199
5881 8442 28428
4573 5818 42868
2977 6198 9335
2133 1310 4219
2266 3383 88398
267 5024 9477
9742 7191 38877
74 8959 46915
1749 8470 82312
1982 1883 18662
2999 3219 13943
3356 2492 32860
8054 6160 66447
698 3604 98469
6447 1841 40560
9434 8816 84882
1541 5287 31715
2270 2869 93168
4496 5607 71195
9524 6857 85541
8296 673 21370
4882 9362 35848
1008 8814 8260
9334 7076 58669
460 7508 5646
7415 667 96158
4905 8774 66148
9700 8143 49146
1276 4258 12554
6183 3218 27257
7087 8855 92066
7893 6927 17827
6440 2894 65363
894 8598 77176
9808 7913 58152
3521 6195 83061
1109 7463 75409
6142 4876 42739
1000 349 46411
3312 7376 76660
9406 1458 83904
2493 6657 29096
2147 2765 53999
6635 3363 40495
409 1066 38322
1086 1284 34627
9014 7176 49188
8318 8633 70062
1466 5130 27696
7781 2008 9614
17 6836 8064
7271 985 13415
6205 3703 86799
7117 2052 37543
7117 9126 58596
8539 859 57775
822 5204 11734
2837 6272 60284
8951 398 52158
2663 614 81963
8160 7564 8796
345 9601 12618
5413 448 72935
9785 7158 20420
4664 1290 24809
7316 3603 47700
7083 9114 82834
6538 7131 74198
590 2136 80214
1684 4315 23039
1784 4636 83611
1669 4223 15667
8827 7951 46268
1436 6105 76434
4103 2629 58887
1376 3393 67033
2324 8431 74550
8053 7465 53037
1977 6025 36553
7559 6523 87906
4487 7767 796
4979 5592 48351
7379 9942 86763
1657 8568 84226
925 8681 5677
4320 7191 7423
5750 1288 42311
3294 2448 49772
4656 2022 22698
8882 3224 67894
1172 925 96635
6800 4801 72281
285 8941 37752
2822 5298 53777
1242 6419 34
9650 3285 78885
5764 2721 26172
2520 1041 17959
7321 5796 36862
5011 9363 60117
3131 4580 21224
9789 5159 94414
2202 7294 25596
5999 8451 98168
2092 2165 3050
2242 1917 55969
8302 6903 39573
1744 1931 33375
2462 1108 38929
532 3478 80214
5234 4380 99077
5130 2854 33099
3341 8768 94500
9275 6964 4747
6069 9642 35114
8998 9142 79203
8429 5302 71267
7698 1204 3446
6702 4697 71850
1691 4808 64255
8089 362 8165
7557 1891 37813
2565 1853 18082
4148 1079 82401
9703 4098 14429
9459 1361 31684
1443 6607 98503
9213 5374 18512
8438 8665 77226
4605 6370 83699
299 3525 92690
9522 6831 78768
832 1203 10669
6946 4063 69928
7943 5518 83831
3175 2547 67261
3594 1150 82879
981 2904 98902
3900 1147 50194
6451 8774 96517
9625 3891 74601
2785 1502 63039
7113 1095 60126
80 6176 24986
2684 9012 86705
6474 4243 84077
6037 3543 56116
9979 7727 41621
1081 4946 24511
5051 8165 75594
4326 9050 35017
4989 2015 66587
9558 2448 44412
3545 853 43086
3606 8525 49993
2960 3627 7938
6890 7207 52661
3494 4066 11279
6854 3116 75069
2480 5807 6781
4861 6959 97448
1159 2477 9506
2578 2200 85398
757 8876 17989
2023 680 93570
7361 1265 58919
1358 5273 15403
8503 806 9965
3151 6890 63955
4559 302 90215
2417 5268 62956
228 4001 25240
2440 4682 74271
6652 6438 77262
8578 4826 10543
3071 4618 23882
5332 4915 75556
9091 8753 646
3460 3146 34095
9246 7785 33742
438 9969 55497
1150 4782 55622
4870 9410 66752
6269 3773 55459
9169 8672 31461
8646 8455 91348
3146 9255 78262
5437 6507 16005
6666 8313 97821
4061 3026 12493
2745 3514 21070
2529 6931 32166
3175 8275 66364
1829 4358 90433
9521 3300 81347
5352 9447 34946
314 9492 11698
9591 1819 19242
5050 2612 57299
633 99 17281
1629 899 53640
1408 5577 11538
2888 8897 68040
7797 307 785
1529 8149 75414
6310 266 60991
9941 3476 74168
9414 9779 72379
1002 1150 90290
5169 5953 1907
9018 7352 65859
7516 6684 18743
2555 5486 29921
621 7893 71797
6307 3776 45909
1603 2440 85447
570 8446 35160
8724 6859 30196
9811 6962 3583
7945 2254 8398
6626 3248 84544
7194 1809 6238
1772 6527 40482
791 1202 7953
2480 5099 96882
3385 6288 38616
9818 9649 71830
4249 8816 563
6152 9961 92541
5677 9343 34517
7948 7497 85684
8973 3145 69250
9046 1323 93046
4681 727 9028
9504 9274 98503
352 7837 42547
4195 1888 80497
5529 8918 73195
71 6141 98371
4610 3132 61653
7549 5878 27073
9600 8859 17588
8665 8467 16848
6167 3650 67655
5784 3660 40553
3325 4453 88654
674 3153 17032
3710 2542 14572
5311 3551 54283
3144 8599 77559
5897 3302 28852
3744 2957 9778
8072 6039 19433
9338 1050 35410
9441 229 2949
8844 3831 1040
324 3195 33635
7293 1508 94899
2505 7663 91723
3540 7782 68957
873 787 63267
2768 2252 16376
3901 117 177
3596 4289 45012
5200 2540 86627
7946 1084 86230
1760 1628 80181
4526 1518 58752
1592 5088 2190
7428 1637 77194
8100 7547 69577
2384 4915 22777
4710 8468 9841
7939 3976 33805
6898 710 2287
4342 230 91290
1080 489 83702
2237 4024 71734
8901 4116 37135
8124 2804 76857
9709 3985 12613
6723 5630 77072
3762 5297 71568
8212 3842 80856
9432 3826 88777
3349 4066 60880
2064 2736 21809
2694 7934 85750
2693 5593 76323
9780 4396 65456
6485 2114 63138
7819 4380 71874
3251 90 89692
7262 2503 31708
2757 9704 33129
7659 7763 57865
2771 7259 56770
3376 616 21958
7106 2055 6588
3870 898 22140
8406 9691 33581
6730 2846 49159
7634 4999 53792
5222 5532 43026
342 9722 76140
2727 9727 92190
2533 1217 93340
8550 3252 97181
4802 5094 60682
3830 3769 77334
8147 3884 47475
1852 665 79888
4218 6318 76035
4167 885 78441
4731 4465 1239
6568 9358 56576
2195 4269 91268
7004 4977 32493
7219 5403 57120
9567 2174 22636
6499 9050 28048
4403 5147 83406
2551 3379 64077
6032 3093 38115
8556 938 40243
1426 6835 54904
3945 5853 83901
2311 8467 15319
2949 1118 23378
2447 9731 13159
6088 2905 38823
2830 2473 70653
5034 4054 43394
4516 6512 11608
3463 7823 62134
7409 9444 7186
9163 4603 87966
2306 7375 14009
6971 3548 48260
4761 281 71512
4018 1504 4275
952 5935 67251
1636 7884 70336
4536 9299 27369
5288 4534 94623
7018 2323 42822
484 8454 1781
4099 1762 9296
9335 5464 95713
4006 9314 85062
6708 8513 43689
7191 912 62295
4575 3038 68657
7119 6952 95440
7907 7202 22083
9825 6559 37979
102 9392 74923
2535 505 45105
2564 2340 78140
4105 5234 4164
3539 9787 8470
9128 5580 42786
9996 655 30473
3214 4529 33115
2260 9113 96198
5485 3009 91898
766 9309 41358
566 1571 63864
3992 7454 67603
